=======================================
Running combination:
  Metric:     euclidean
  Noise mode: exp-decay
  Rate:       1.0
=======================================
[01lod7em2xj_V15.csv] d' = 3.58 (HR=1.00, FAR=0.56)
[1w978vvm7wf_V15.csv] d' = 4.15 (HR=1.00, FAR=0.33)
[2ngpffrheyu_V15.csv] d' = 1.40 (HR=0.83, FAR=0.33)
[2oywk6uut64_V15.csv] d' = 2.88 (HR=1.00, FAR=0.80)
[3w3qsj697xu_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[490o853ykt6_V15.csv] d' = 3.29 (HR=1.00, FAR=0.67)
[4z4k817xt8d_V15.csv] d' = 4.28 (HR=1.00, FAR=0.29)
[5b6uz8o1hlz_V15.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[5ma3578pznu_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[5mb616c4n08_V15.csv] d' = 4.15 (HR=1.00, FAR=0.33)
[5pd5y9mjjsc_V15.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[6924512y9gx_V15.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[6alw57xy03w_V15.csv] d' = 2.65 (HR=1.00, FAR=0.86)
[7eu1tj6kc3w_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[7hbpgxmpokn_V15.csv] d' = 4.39 (HR=1.00, FAR=0.25)
[7t9xlqkc08r_V15.csv] d' = 3.29 (HR=1.00, FAR=0.67)
[804glzw8ue9_V15.csv] d' = 3.29 (HR=1.00, FAR=0.67)
[82d5la0xnj4_V15.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[8wr0qhfhte3_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[8zmowwz1b13_V15.csv] d' = 3.04 (HR=1.00, FAR=0.75)
[9au2fdb3ggz_V15.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[9dz5ylmadoq_V15.csv] d' = 4.69 (HR=1.00, FAR=0.17)
[9jj1ja9uohx_V15.csv] d' = 3.29 (HR=1.00, FAR=0.67)
[9vtzztk6gao_V15.csv] d' = 3.29 (HR=1.00, FAR=0.67)
[a5pmryocedo_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[axf1t8qvzz4_V15.csv] d' = 4.39 (HR=1.00, FAR=0.25)
[cfk7jt8ceol_V15.csv] d' = 2.75 (HR=1.00, FAR=0.83)
[dgsl6oqxrr1_V15.csv] d' = 2.75 (HR=1.00, FAR=0.83)
[dsza6hy4hn1_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[ef8ttryphyf_V15.csv] d' = 3.29 (HR=1.00, FAR=0.67)
[erlcu2cyxkb_V15.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[f79svl6q517_V15.csv] d' = 3.40 (HR=1.00, FAR=0.62)
[f7gq4bpt17c_V15.csv] d' = 2.75 (HR=1.00, FAR=0.83)
[fhpxjzyl79z_V15.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[gpvytcpxx3f_V15.csv] d' = 3.90 (HR=1.00, FAR=0.43)
[h5kr46tguxk_V15.csv] d' = 0.00 (HR=1.00, FAR=1.00)
[h6g35dawp82_V15.csv] d' = 0.00 (HR=0.60, FAR=0.60)
[hqspw1mfwgm_V15.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[j2hqv4dd8y5_V15.csv] d' = 0.00 (HR=1.00, FAR=1.00)
[jog1plspru9_V15.csv] d' = 3.04 (HR=1.00, FAR=0.75)
[kcupsh6a65q_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[kqwey9ty5zk_V15.csv] d' = 3.29 (HR=1.00, FAR=0.67)
[kr3qelsnam0_V15.csv] d' = 4.39 (HR=1.00, FAR=0.25)
[kypgvfwvdqc_V15.csv] d' = 3.04 (HR=1.00, FAR=0.75)
[ldebx74kgut_V15.csv] d' = 4.39 (HR=1.00, FAR=0.25)
[m63pje5sgd3_V15.csv] d' = 4.15 (HR=1.00, FAR=0.33)
[mlpovm098tq_V15.csv] d' = 3.29 (HR=1.00, FAR=0.67)
[msod3stwm4t_V15.csv] d' = 2.65 (HR=1.00, FAR=0.86)
[nccs8wmv9v0_V15.csv] d' = 4.69 (HR=1.00, FAR=0.17)
[nty9tly574x_V15.csv] d' = 4.39 (HR=1.00, FAR=0.25)
[ogme1cxsc45_V15.csv] d' = 2.95 (HR=1.00, FAR=0.78)
[p64syt0fgp8_V15.csv] d' = 3.29 (HR=1.00, FAR=0.67)
[pdkbl3de4qt_V15.csv] d' = 3.15 (HR=1.00, FAR=0.71)
[pl65pdjcuhf_V15.csv] d' = 0.00 (HR=1.00, FAR=1.00)
[pon63dayzxd_V15.csv] d' = 0.00 (HR=1.00, FAR=1.00)
[rcxw4t3oss1_V15.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[s16vw23wrt9_V15.csv] d' = 0.59 (HR=0.80, FAR=0.60)
[t8o6ztvvg1v_V15.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[tl5papbp9nn_V15.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[tpu5p5pct5s_V15.csv] d' = 4.15 (HR=1.00, FAR=0.33)
[tu6ogts8rpk_V15.csv] d' = 0.00 (HR=1.00, FAR=1.00)
[u34eooegghv_V15.csv] d' = 0.00 (HR=1.00, FAR=1.00)
[ub7t02c93gg_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[uem92uvjrsh_V15.csv] d' = 2.95 (HR=1.00, FAR=0.78)
[urq11kzkjx1_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[uyubem4thaw_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[vmm6q1jvmfu_V15.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[vrzcvbdbapk_V15.csv] d' = 4.69 (HR=1.00, FAR=0.17)
[vv9xwm22pq5_V15.csv] d' = 2.88 (HR=1.00, FAR=0.80)
[wo9amxwsx6l_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[xzko5ww7ypu_V15.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[y1jqrecmblv_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[ydhrhc5msye_V15.csv] d' = 0.00 (HR=1.00, FAR=1.00)
[z2jy6yv4toq_V15.csv] d' = 3.04 (HR=1.00, FAR=0.75)
[z759f02p2a6_V15.csv] d' = 4.39 (HR=1.00, FAR=0.25)
[z9y03xd35hn_V15.csv] d' = 4.15 (HR=1.00, FAR=0.33)
[zldl292k2b3_V15.csv] d' = 4.28 (HR=1.00, FAR=0.29)
[zovathajsy5_V15.csv] d' = 3.72 (HR=1.00, FAR=0.50)
[zvpjlns8944_V15.csv] d' = 3.29 (HR=1.00, FAR=0.67)
✅ Done: metric=euclidean, noise_mode=exp-decay, rate=1.0
