cuda
2008997
[3wwdmsyqfc4.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[7jogrkbp84y.csv] d' = 0.00 (HR=0.60, FAR=0.60)
[x2u1rnl6jry.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[wj0a6qjnn25.csv] d' = 2.88 (HR=1.00, FAR=0.80)
[1dqenpvpfbn.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[nbgjl1qv11s.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[57bou300szv.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[prp17n1tkt9.csv] d' = -2.88 (HR=0.80, FAR=1.00)
[ospmoysz4bs.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[hfnot2lwmcf.csv] d' = 2.88 (HR=1.00, FAR=0.80)
[fb6k9ozgjrt.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[dmpvasordex.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[m43hv0vduja.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[gp06nr5fdvt.csv] d' = 0.00 (HR=1.00, FAR=1.00)
[w42gcgbetat.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[lxbdvdvzyed.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[su4y3ecm70b.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[ucl3fo5l4nk.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[3k986dfw0e4.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[w4nnqxpetfp.csv] d' = 0.00 (HR=0.80, FAR=0.80)
[zhgyzwna4g9.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[nmo0su2n2p4.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[mqsel2qj1bm.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[lvsjd57zzas.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[tf6ge9da7k3.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[7xm8l8vae6v.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[vyfl17zhg56.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[t7fzgmcyvoa.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[h7j7a1oyysq.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[llwbpg1ugqv.csv] d' = 1.09 (HR=0.80, FAR=0.40)
[a7llgexkbm9.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[zur0wkbpxtw.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[l4bk09zh5b0.csv] d' = 0.00 (HR=1.00, FAR=1.00)
[vfhx71458jt.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[v06lbxm84la.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[m3h147roq6e.csv] d' = 2.88 (HR=1.00, FAR=0.80)
[yt5at846fch.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[autvnk866y5.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[hght3z7y93s.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[cdczcxcat2y.csv] d' = 1.68 (HR=0.80, FAR=0.20)
[fe7lt8zkvy0.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[xlgk883bzvk.csv] d' = 0.00 (HR=1.00, FAR=1.00)
[lhc6wdhczjx.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[hb1m1ndt6xt.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[ftgfad3kmo8.csv] d' = 2.88 (HR=1.00, FAR=0.80)
[6q3fay5lcyu.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[0vsmemo501p.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[zbtgv9yczsz.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[2we169pb6lm.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[b1xg0cek7ps.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[01zrp0w3xu9.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[26by5pzo9uy.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[d98s66lgw1p.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[x76pv0c77tz.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[lgoq8nhy1gc.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[rzor32wqmdx.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[4xmhs63nfl4.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[j95er2wowed.csv] d' = 1.09 (HR=0.80, FAR=0.40)
[u6tgqe54sry.csv] d' = 0.00 (HR=0.60, FAR=0.60)
[pnt1rtfaz6y.csv] d' = 1.09 (HR=0.80, FAR=0.40)
[4fzanpjobzz.csv] d' = 0.00 (HR=0.60, FAR=0.60)
[lwtmg1q49s0.csv] d' = 3.47 (HR=1.00, FAR=0.60)
[51dj8f5ye1x.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[hm0s3cem5sf.csv] d' = 2.88 (HR=1.00, FAR=0.80)
[baekyqloe8n.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[yqw5tk2nn82.csv] d' = 2.88 (HR=1.00, FAR=0.80)
[3qsuq4y6gzc.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[886uuanxhlb.csv] d' = 4.56 (HR=1.00, FAR=0.20)
[5vahh5clc4m.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[osh4sjbrv6m.csv] d' = 7.44 (HR=1.00, FAR=0.00)
[fhvnuzuwowk.csv] d' = 3.97 (HR=1.00, FAR=0.40)
[h73oycd2dpk.csv] d' = 4.56 (HR=1.00, FAR=0.20)
