=======================================
SLURM_ARRAY_TASK_ID = 0
YAML_PATH = /om2/user/bjmedina/auditory-memory/memory/model_yamls/all/run_000000.yaml
=======================================
Running config:
  YAML: /om2/user/bjmedina/auditory-memory/memory/model_yamls/all/run_000000.yaml
  Encoder: kell2018
  Metric: cosine
  Noise: two-regime
[oz7vr4gasr9_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[dn4wj0qyjlb_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[377okbwqfol_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[zflklbtsprt_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[y764e9glsdy_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[uehbjwf18wa_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[wv3kq5n2l7m_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[kg64llngdfz_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[xxewef3elk4_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[df5teuales1_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[lbuuq8wxuf0_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[2vv8w5qu8bg_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[0mxw60cjxko_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[ah3lc7aednx_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[53xk0d9d9t8_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[l6ud3oj4fom_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[slo2q2e487x_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[ahqloh83m5d_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[10dvh4q6hd1_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[j0pvjlq6hfj_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[0vz92n2tdh9_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[swloa4nupbx_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[253z2ykbsr1_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[20kcl9csls1_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[1mog0vfw04x_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[h0syf2n3lgd_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[v1qb7c8djdz_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[v8e2r7fhxv6_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[0kawu7gcgoc_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[0zeu6m3q8lg_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[ehjmv6tlg2t_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[jemaybqtjo9_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[q6uncctwnu7_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[0zjcmf4wm51_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[r5yd6tej6w0_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[s76w8cvz9yb_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[7mlo5nsxguh_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[c5mlxf62c69_multi.csv] ISI=0 d' = 0.59 (HR=0.80, FAR=0.60)
[rf9p5vmsrbj_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[4ec840ky2lg_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[pgg93qmp8tb_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[bfhn0u90dra_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[qfqahgoghv1_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[vuwvcfkh86f_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[ww6t4d0dalg_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[w6ts14su87y_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[k5chftmcm2g_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[wtplynmad9z_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[ubeyd2p4jfk_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[v4goybjhlaj_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[g1drb5rjqlp_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[mhy6udnb7wa_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[7etn4h50b6v_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[ql9pcjrrteq_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[yfpuy1e2pku_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[ot38722u4yh_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[sex20pk2e8l_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[q94hu2n0k6c_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[8o0tw0csn5r_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[co2ebsc9wry_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[g39sjonma44_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[glxllkvn97d_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[gv3phwj9naa_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[710457qqv9n_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[ftkkktwwop5_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[x4spchal69l_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[uv1g3vkc2sh_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[mwm7m469ja8_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[ek654x53p4s_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[ayym80rv47x_multi.csv] ISI=0 d' = 3.97 (HR=0.60, FAR=0.00)
[k2a57xa3ps1_multi.csv] ISI=0 d' = 3.97 (HR=0.60, FAR=0.00)
[h7d5a9m4ccs_multi.csv] ISI=0 d' = 0.51 (HR=0.60, FAR=0.40)
[4ofu9s6db6a_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[lbkbg22z4pg_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[udr321utv3n_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[21zx1kc4gdb_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[hpd8c3puee9_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[n9rylgt1qv0_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[bxtc7wt39sg_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[lklmg7h6zy9_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[6p6hj32x9w7_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[lqjrgn5g3ud_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[0fuw892317k_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[b7569uxsol3_multi.csv] ISI=0 d' = 0.00 (HR=1.00, FAR=1.00)
[vjvl028qwlh_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[yujmtss9t69_multi.csv] ISI=0 d' = 1.09 (HR=0.80, FAR=0.40)
[wfc2wree5zf_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[ls65zaz41de_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[2gfhh0ykwr8_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[n9dknj2dkcf_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[2jktrhbmqm6_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[g6dgtg9jhur_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[s83ghdkap1v_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[yk8ezehmo38_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[77uhu4y5oxd_multi.csv] ISI=0 d' = 0.00 (HR=0.60, FAR=0.60)
[qz0o7lpasdx_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[h4xmbgxyjsa_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[kn07h29ev3t_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[9c0pe6berzk_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[z6xt57jokhf_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[391ep05p07n_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[bmr4o3aj3jw_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[x63b6bhh4cl_multi.csv] ISI=0 d' = -0.59 (HR=0.60, FAR=0.80)
[2n4o0o49aan_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[vsnvlrb96nf_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[zy8fdmhcbqo_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[d34bf07dd7x_multi.csv] ISI=0 d' = 0.00 (HR=1.00, FAR=1.00)
[vnx9bxn3w92_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[4zsy2bfmlgp_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[1lcuxd1xpht_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[ogquvh83en1_multi.csv] ISI=0 d' = 0.00 (HR=0.60, FAR=0.60)
[vhcbgf8lxof_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[g3h0ytdg5x8_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[svn6rv3j32x_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[8vqw63twjyk_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[o4d5eutl73a_multi.csv] ISI=0 d' = 4.56 (HR=0.80, FAR=0.00)
[my21r944yug_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[zv74oem28p3_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[rjzz87wj6h6_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[llg011wtxny_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[n5crz82s4gm_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[dt1s290g5or_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[bt7h625hre6_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[zny0zm4wr82_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[tqqlbgbyznt_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[ntq8grnkn8a_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[f04m686y0ej_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[p0kjrqzk876_multi.csv] ISI=0 d' = -2.88 (HR=0.80, FAR=1.00)
[eh6pvwjy8bq_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[elw3q8p2q38_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[c2nbyoo25n2_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[vpcfbztf0o6_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[jbs7jzg12wr_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[1p1duj9f4db_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[6rf5xcu0c3d_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[5ckpkleetyd_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[bva1whhh6tr_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[y4d1kaxu9sm_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[xd88npqg9fs_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[nuu16nzme8t_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[kbg7n8bjfl4_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[wr8ddl0ju6z_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[9qjjg76bnel_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[x9bzwvbz77f_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[mbnegom2yvg_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[g0gfn1rvewa_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[uuat9lvde9r_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
