=======================================
SLURM_ARRAY_TASK_ID = 2
YAML_PATH = /om2/user/bjmedina/auditory-memory/memory/model_yamls/all-texture-pca/run_000002.yaml
=======================================
Running config:
  YAML: /om2/user/bjmedina/auditory-memory/memory/model_yamls/all-texture-pca/run_000002.yaml
  Encoder: texture_pca
  Metric: cosine
  Noise: two-regime
[dm1lpmjlyvo_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[hb63jv6twn6_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[e6j2vuxjq81_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[skgm551ckzm_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[pff2f8uv367_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[z668btdgacl_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[06nou8lg799_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[6ntpvlzbg7z_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[t1j5vg397xq_multi.csv] ISI=0 d' = 2.88 (HR=1.00, FAR=0.80)
[hy9eaufl8f9_multi.csv] ISI=0 d' = 4.56 (HR=1.00, FAR=0.20)
[gvzyr83t0hv_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[6kbv2u7w591_multi.csv] ISI=0 d' = 0.00 (HR=0.80, FAR=0.80)
[tlac282x63y_multi.csv] ISI=0 d' = -1.09 (HR=0.20, FAR=0.60)
[sat9l9kj5cd_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[4zmf26c8qrv_multi.csv] ISI=0 d' = 7.44 (HR=1.00, FAR=0.00)
[808mtf2udx0_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[17uy37cmur1_multi.csv] ISI=0 d' = 3.97 (HR=1.00, FAR=0.40)
[vnyppteqyc5_multi.csv] ISI=0 d' = 1.68 (HR=0.80, FAR=0.20)
[q95r7gjysfk_multi.csv] ISI=0 d' = 0.00 (HR=0.60, FAR=0.60)
[wnlod12xeh0_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
[zuqmcwwm5wn_multi.csv] ISI=0 d' = 3.47 (HR=1.00, FAR=0.60)
